	precision	recall	f1-score	support
cat_angry	1.0	0.625	0.7692307692307693	40.0
cat_happy	0.723404255319149	0.85	0.7816091954022989	40.0
cat_sad	0.7391304347826086	0.85	0.7906976744186046	40.0
dog_angry	0.5714285714285714	0.6	0.5853658536585366	40.0
dog_happy	0.6774193548387096	0.525	0.5915492957746479	40.0
dog_sad	0.7142857142857143	0.875	0.7865168539325843	40.0
lion_angry	0.925	0.925	0.925	40.0
lion_happy	0.8666666666666667	0.975	0.9176470588235294	40.0
lion_sad	0.975	0.975	0.975	40.0
monkey_angry	0.88	0.55	0.676923076923077	40.0
monkey_happy	0.8863636363636364	0.975	0.9285714285714286	40.0
monkey_sad	0.64	0.8	0.7111111111111111	40.0
wolf_angry	0.8787878787878788	0.725	0.7945205479452054	40.0
wolf_happy	0.7297297297297297	0.675	0.7012987012987013	40.0
wolf_sad	0.8260869565217391	0.95	0.8837209302325582	40.0
accuracy	0.7916666666666666	0.7916666666666666	0.7916666666666666	0.7916666666666666
macro avg	0.8022202132482936	0.7916666666666666	0.7879174998215368	600.0
weighted avg	0.8022202132482934	0.7916666666666666	0.7879174998215369	600.0
